city,state,lng,lat,avg_aqi
Bakersfield,CA,-119.0359,35.3529,99
Bishop,CA,-118.3958,37.3665,91
Chico,CA,-121.8161,39.7578,54
Clearlake,CA,-122.633,38.9589,33
Crescent City,CA,-124.1902,41.7728,24
El Centro,CA,-115.5595,32.7865,66
Eureka,CA,-124.1564,40.7943,30
Fresno,CA,-119.7939,36.783,94
Hanford,CA,-119.6549,36.3274,67
Los Angeles,CA,-118.4068,34.1141,117
Madera,CA,-120.0778,36.963,61
Merced,CA,-120.4779,37.3057,65
Modesto,CA,-121.0028,37.6375,66
Napa,CA,-122.301,38.2975,39
Oxnard,CA,-119.1815,34.1964,78
Red Bluff,CA,-122.2413,40.1735,53
Redding,CA,-122.365,40.5698,51
Riverside,CA,-117.3949,33.9381,125
Sacramento,CA,-121.4685,38.5677,82
Salinas,CA,-121.6317,36.6883,39
San Diego,CA,-117.1222,32.8313,86
San Francisco,CA,-122.4449,37.7558,56
San Jose,CA,-121.848,37.3012,59
San Luis Obispo,CA,-120.669,35.2669,53
Santa Cruz,CA,-122.0346,36.9789,36
Santa Maria,CA,-120.4431,34.9333,61
Santa Rosa,CA,-122.7067,38.4458,38
Sonora,CA,-120.3828,37.9819,55
Stockton,CA,-121.3109,37.9765,57
Susanville,CA,-120.6132,40.4206,29
Truckee,CA,-120.1848,39.3455,62
Ukiah,CA,-123.2105,39.1464,34
Vallejo,CA,-122.2342,38.1125,46
Visalia,CA,-119.3269,36.3276,90
Yuba City,CA,-121.6383,39.1357,56
