lat,lng,HAZ_CLASS
-601769.6553,288976.8943,1
-601598.9136,288973.993,1
-601424.6592,288956.6817,1
-600204.4527,286673.5932,1
-600339.5554,289206.6698,1
-592709.137,331935.3288,1
-591987.8182,358272.0,1
-588427.846,282395.8026,1
-585232.7286,368457.3128,1
-584696.8372,360803.23,1
-584211.25,369246.6554,1
-582866.7934,284498.9249,1
-580616.1892,290543.9189,1
-579621.0692,371745.7549,1
-577586.9543,373116.2215,1
-578401.0391,373940.4609,1
-577119.5142,372192.1888,1
-574299.4963,290248.9528,1
-574175.6992,290154.7993,1
-573823.0854,289906.1615,1
-573239.786,289914.9443,1
-569633.4273,291953.7182,1
-569603.2805,291983.1841,1
-567376.1512,343889.4574,1
-566847.5548,343785.84,1
-565543.8059,345166.4484,1
-564108.7095,356967.747,1
-561950.3019,349518.7093,1
-556385.4029,264020.8932,1
-556370.8485,264207.6239,1
-556358.3004,264523.1702,1
-554718.9609,258672.2267,1
-553384.9487,342014.7301,1
-553647.7565,340553.013,1
-551916.8182,321666.4773,1
-550266.3495,269254.054,1
-550241.38,298168.9409,1
-573313.4196,356764.3556,1
-549829.3701,292332.1896,1
-550117.0707,266444.8738,1
-549485.0847,264636.3559,1
-548056.5775,259613.0028,1
-547087.8431,293964.3908,1
-547003.6064,293054.8658,1
-547256.5932,286689.1017,1
-544485.5404,272878.1704,1
-544158.6476,271825.3749,1
-542954.6645,270586.6383,1
-542689.2847,270149.9122,1
-542636.6922,270069.4896,1
-542604.9993,269980.0154,1
-542456.7045,269785.8678,1
-541834.2569,346834.2742,1
-541777.2419,346860.815,1
-541681.0203,346841.1963,1
-541584.8017,346860.8508,1
-541515.854,346837.8415,1
-540609.0104,346229.8523,1
-540174.7763,345517.9784,1
-540266.7859,276353.2972,1
-539265.3828,267780.348,1
-538940.5554,267789.9452,1
-533698.7811,263757.1821,1
-533569.865,271303.533,1
-533430.0671,271351.3632,1
-533472.8797,271703.833,1
-533432.8704,263760.0812,1
-533116.5543,265822.1885,1
-533198.1217,266216.0576,1
-533379.7011,264631.0662,1
-533014.513,266118.0979,1
-532513.4552,260467.6196,1
-530377.3382,261082.3455,1
-530139.4415,260821.3883,1
-529624.0656,260533.6992,1
-528913.9676,260692.6233,1
-527665.8353,259673.9387,1
-527650.0348,259374.5967,1
-526740.9413,257253.5951,1
-526488.0211,304619.0213,1
-523649.029,256978.8599,1
-520586.3924,312673.481,1
-522221.8065,267735.9909,1
-517783.5706,281118.1122,1
-516894.6675,278890.7801,1
-515560.5597,280342.657,1
-515605.5277,279879.3548,1
-516516.5208,343066.1241,1
-515006.5349,257601.8726,1
-514122.5508,340490.161,1
